ERwin Property Ids,1075850516::User Formatted Name  [read only],0::Object Type  [read only],1075849176::Physical Name
"1075838981::145","Employee First Name",Column,"EMP_First_Name"
"1075838981::146","Employee Address",Column,"EMP_Address"
"1075838981::147","Employee Phone",Column,"EMP_Phone"
"1075838981::148","Store Manager",Column,"Store_Manager"
"1075838981::149","Store Address",Column,"Store_Address"
"1075838981::150","Store Phone",Column,"Store_Phone"
"1075838981::151","Store City",Column,"Store_City"
"1075838981::152","Store State",Column,"Store_State"
"1075838981::153","Store Zip Code",Column,"Store_Zip_Code"
"1075838981::154","Employee Address 2",Column,"EMP_Address_2"
"1075838981::155","Store Address 2",Column,"Store_Address_2"
"1075838981::156","Movie Title",Column,"Movie_Title"
"1075838981::157","Movie Director",Column,"Movie_Director"
"1075838981::162","Rental Date",Column,"Rental_Date"
"1075838981::163","Due Date",Column,"Due_Date"
"1075838981::164","Rental Status",Column,"Rental_Status"
"1075838981::165","Overdue Charge",Column,"Overdue_Charge"
"1075838981::166","Rental Rate",Column,"Rental_Rate"
"1075838981::167","Rental Record Date",Column,"Rental_Record_Date"
"1075838981::169","General Condition",Column,"General_Condition"
"1075838981::170","Movie Format",Column,"Movie_Format"
"1075838981::171","Movie Copy Number",Column,"mo_co_num"
"1075838981::173","Soc Sec Number",Column,"Soc_Sec_Number"
"1075838981::174","Hire Date",Column,"Hire_Date"
"1075838981::175","Salary",Column,"Salary"
"1075838981::176","Email",Column,"Email"
"1075838981::177","Employee Number",Column,"EMP_Number"
"1075838981::179","Description",Column,"Description"
"1075838981::180","Star 1 Name",Column,"Star_1_Name"
"1075838981::181","Rating",Column,"Rating"
"1075838981::182","Star 2 Name",Column,"Star_2_Name"
"1075838981::183","Movie Number",Column,"Movie_Number"
"1075838981::185","Genre",Column,"Genre"
"1075838981::186","Rental Rate",Column,"Rental_Rate"
"1075838981::187","Movie Url",Column,"Movie_Url"
"1075838981::188","Movie Clip",Column,"Movie_Clip"
"1075838981::189","Store Number",Column,"Store_Number"
"1075838981::202","Soc Sec Number",Column,"Soc_Sec_Number"
"1075838981::204","Employee Phone",Column,"EMP_Phone"
"1075838981::210","Movie Copy Number",Column,"mo_co_num"
"1075838981::215","Movie Number",Column,"Movie_Number"
"1075838981::218","Movie Number",Column,"Movie_Number"
"1075838981::223","Store Number",Column,"Store_Number"
"1075838981::227","Supervisor",Column,"Supervisor"
